,Group,Name,Calories,Water,Protein,Carbohydrates,Fat,Sugar,Sucrose,Glucose,Fructose,Lactose,Maletose,Starch,Fiber,Polyols,Ash,Alcohol,Organic_Acids,Saturated_Fat,Fat_Mono.,Fat_Poly.,DHA,Cholesterol,Salt,Calcium,Choline,Cupper,Iron,Iodine,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Retinol,Alpha_Carotene,Beta_Carotene,Caffeine,Theobromine,Galactose,Fluoride,Beta_Cryptoxanthin,Lycopene,Lutein&Zeaxathin,Vitamin A,Vitamin_B1,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_B9,Vitamin_B12,Vitamin_C,Vitamin_D2,Vitamin_D3,Vitamin_D,Vitamin_E,Vitamin_K1,Vitamin_K2
786,breads and pastries,Puffed cereals textured bread,394.0,2.45,8.43,82.4,2.5,0.98,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.2,0.0,0.0,0.33,0.64,0.7,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
787,breads and pastries,Rusk. slice. wheat,403.0,3.65,9.76,74.0,6.16,5.28,0.0,0.0,0.0,0.0,0.0,66.7,4.34,0.0,2.09,0.0,0.0,2.49,1.99,0.86,0.0083,0.01,1.56,29.3,0.0,0.18,1.9,4.0,33.8,0.7,135.0,175.0,2.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788,breads and pastries,Rusk with eggs. sliced. prepacked,419.0,4.45,10.6,70.8,9.19,11.0,0.0,0.0,0.0,0.0,0.0,59.0,3.58,0.0,1.41,0.0,0.0,4.18,1.44,0.98,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789,breads and pastries,Wheat swedish toast,402.0,5.5,8.89,68.5,8.25,6.2,0.0,0.0,0.0,0.0,0.0,56.9,7.3,0.0,1.6,0.0,0.0,1.64,3.73,1.17,0.01,0.0,1.06,42.2,765.0,0.0,1.0,10.0,23.4,1.0,120.0,163.0,5.0,422.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,1.4,0.52,0.14,21.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0
790,breads and pastries,Swedish toast. with linseeds,396.0,0.0,10.3,63.0,9.0,4.67,0.0,0.0,0.0,0.0,0.0,58.3,9.0,0.0,1.57,0.0,0.0,1.17,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
791,breads and pastries,Crispbread. extruded and grilled,379.0,6.4,9.97,73.7,3.57,6.36,0.0,0.0,0.0,0.0,0.0,67.3,4.37,0.0,2.0,0.0,0.0,0.96,0.77,0.66,0.0,0.0,1.43,42.3,871.0,0.0,1.0,10.0,29.8,1.0,131.0,254.0,5.0,576.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.8,9.82,0.71,0.8,87.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0
792,breads and pastries,Wheat swedish toast. wholemeal,398.0,5.8,10.5,66.4,8.0,2.0,0.0,0.0,0.0,0.0,0.0,54.8,7.0,0.0,2.3,0.0,0.0,3.0,2.89,1.39,0.01,0.0,1.53,26.8,1020.0,1.0,1.6,10.0,60.9,1.7,213.0,284.0,5.0,610.0,1.4,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.11,1.4,0.69,0.25,26.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0
793,breads and pastries,Swedish toast. with fruits,401.0,6.7,7.98,70.8,8.0,13.0,0.0,0.0,0.0,0.0,0.0,55.5,5.25,0.0,1.31,0.0,0.0,3.0,3.25,1.23,0.01,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
794,breads and pastries,Rusk . slice. multigrain,412.0,4.0,11.1,68.6,8.53,3.68,0.0,0.0,0.0,0.0,0.0,63.0,5.95,0.0,1.88,0.0,0.0,1.69,3.47,2.31,0.01,0.0,1.09,30.0,0.0,0.18,9.0,4.0,66.0,0.7,194.0,300.0,1.7,437.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,1.5,0.1,0.1,57.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
795,breads and pastries,Croutons,522.0,3.05,9.02,52.9,29.4,3.69,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,2.57,0.0,0.0,5.36,10.8,6.18,0.00026,0.0,2.08,0.0,0.0,0.13,0.0,6.3,0.0,0.62,0.0,0.0,2.2,832.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
